id,claim_topic,evidence_text,stance,source,url
202,Does LOW dose atropine (0.05% or less) sustainably inhibit the progression of myopia in children???,"Claim: Does LOW dose atropine (0.05% or less) sustainably inhibit the progression of myopia in children??? | Finding: Drip-feeding high-dose atropine for 1-3 years probably inhibits the progression of myopia in the short term. If dripping is done daily, the effect does not seem to be noticeable 1 year after the end of treatment. If dripping is done monthly at first and then every 2 months, the effect is likely to last longer. Whether lower-dose atropine helps in the long term is poorly understood.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/kurzsichtigkeit-atropin/
203,Is quarantining persons who have had contact with infected persons or who enter from high-risk areas an effective measure to reduce the number of COVID-19 infections and deaths?,"Claim: Is quarantining persons who have had contact with infected persons or who enter from high-risk areas an effective measure to reduce the number of COVID-19 infections and deaths? | Finding: The analysis of 29 studies suggests that quarantine can prevent COVID-19 infections and deaths. The validity of the studies to date is diminished by the fact that only mathemathic modeling studies are available for coronavirus. However, observational studies and modeling of the related diseases SARS and MERS show much the same thing: precautionary quarantine of those who may be infected is likely to be effective, especially if the action is taken early. As a stand-alone measure, quarantine is unlikely to be sufficient to sustainably contain the pandemic.",supports,Medizin Transparent,https://www.medizin-transparent.at/quarantaene-corona/
204,Can homeopathic globules protect against infection with the novel coronavirus?,"Claim: Can homeopathic globules protect against infection with the novel coronavirus? | Finding: There is no evidence that globules can protect against the novel coronavirus (SARS-CoV-2). Scientifically, this has never been investigated.  However, studies on other viral diseases, such as the common cold, show: a curative effect of homeopathy has not been proven.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/coronavirus-globuli/
205,Does the osteoporosis drug teriparatide increase the risk of bone cancer as a side effect?,"Claim: Does the osteoporosis drug teriparatide increase the risk of bone cancer as a side effect? | Finding: The suspicion that teriparatide could cause bone cancer as a side effect is based on animal studies on the one hand. On the other hand, there are individual cases of bone cancer in people treated with teriparatide - although a causal relationship cannot be clearly proven here. Systematic studies of people treated with teriparatide could not provide clear results. Since bone cancer is a very rare disease, its risk factors are difficult to pin down in studies.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/teriparatid-nebenwirkungen/
206,Can therapy with EMDR (Eye Movement Desensitization and Reprocessing) alleviate the symptoms of people with post-traumatic stress disorder?,Claim: Can therapy with EMDR (Eye Movement Desensitization and Reprocessing) alleviate the symptoms of people with post-traumatic stress disorder? | Finding: Therapy with EMDR is probably more effective than no therapy at all for people suffering from the psychological consequences of a traumatic experience. Its effectiveness may be similar to that of exposure therapy. This is a widely established and well-studied form of psychotherapy.,supports,Medizin Transparent,https://www.medizin-transparent.at/emdr/
207,"Does EMDR work similarly to exposure therapy, another well-studied form of psychotherapy for the symptoms of post-traumatic stress disorder???","Claim: Does EMDR work similarly to exposure therapy, another well-studied form of psychotherapy for the symptoms of post-traumatic stress disorder??? | Finding: Therapy with EMDR is probably more effective than no therapy at all for people suffering from the psychological consequences of a traumatic experience. Its effectiveness may be similar to that of exposure therapy. This is a widely established and well-studied form of psychotherapy.",supports,Medizin Transparent,https://www.medizin-transparent.at/emdr/
208,Does filling with hydrogel help with chronic back pain caused by a worn disc?,Claim: Does filling with hydrogel help with chronic back pain caused by a worn disc? | Finding: None of the studies to date can answer how well the treatment works - they lack conclusiveness for this. Some hydrogel products have since been withdrawn from the market.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/hydrogel-bandscheibe/
209,Does taking hyaluronic acid in capsule form improve the symptoms of knee osteoarthritis?,"Claim: Does taking hyaluronic acid in capsule form improve the symptoms of knee osteoarthritis? | Finding: The question was examined in three small studies with various shortcomings. They come to contradictory results. Therefore, we cannot say for sure whether hyaluronic acid for oral use has a beneficial effect on the symptoms of knee osteoarthritis. We are also unable to make any reliable statements about possible risks on the basis of the best available studies.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/hyaluronsaeure-knie-arthrose/
210,"Does taking chlorella provide better performance, more resilience and does it promote health?","Claim: Does taking chlorella provide better performance, more resilience and does it promote health? | Finding: We have found only one very small study on this topic with completely unclear results. From this, we cannot derive any statements on the benefits and risks of dietary supplements from chlorella algae.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/chlorella/
211,Does going to the sauna several times a week prolong men's lives?,"Claim: Does going to the sauna several times a week prolong men's lives? | Finding: Men who go to the sauna several times a week live longer than those who go only once a week. However, it is possible that this is not due to the sauna at all. For women, the effect of sauna visits has not been sufficiently researched.",supports,Medizin Transparent,https://www.medizin-transparent.at/sauna-gesund/
212,Does going to the sauna several times a week prolong women's lives???,"Claim: Does going to the sauna several times a week prolong women's lives??? | Finding: Men who go to the sauna several times a week live longer than those who go only once a week. However, it is possible that this is not due to the sauna at all. For women, the effect of sauna visits has not been sufficiently researched.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/sauna-gesund/
213,Does the additional offer of HIV self-testing cause more people to take an HIV test?,"Claim: Does the additional offer of HIV self-testing cause more people to take an HIV test? | Finding: Current research provides very strong evidence that the addition of HIV self-testing leads to more people taking an HIV test. Among others, people for whom testing at health facilities by professionals is not acceptable for various reasons also make use of this offer.",supports,Medizin Transparent,https://www.medizin-transparent.at/hiv-selbsttest-angebot/
214,"Can the combination of propolis, xyloglucan, gelatin and hibiscus (product ""Utipro Plus"") relieve the symptoms of cystitis or prevent cystitis?","Claim: Can the combination of propolis, xyloglucan, gelatin and hibiscus (product ""Utipro Plus"") relieve the symptoms of cystitis or prevent cystitis? | Finding: Three studies on the product ""Utipro Plus"" investigated the combination of these ingredients. However, statements on the efficacy cannot be made, as the studies have various shortcomings. We did not find any studies on the ingredients - used individually.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/utipro-plus/
215,Does PEMF noticeably improve pain in osteoarthritis? Does the method improve mobility and quality of life in sufferers?,"Claim: Does PEMF noticeably improve pain in osteoarthritis? Does the method improve mobility and quality of life in sufferers? | Finding: Pain was investigated in eight small rather flawed studies. The studies arrived at widely divergent answers. In the studies with positive results, it is partly unclear whether the difference was actually noticeable for those affected. Quality of life and mobility were investigated in five and two studies, respectively - these were small and of little significance. In addition, the studies came to contradictory results.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/pemf-pulsierende-magnetfelder/
216,Does oil pulling promote dental health?,"Claim: Does oil pulling promote dental health? | Finding: Studies conducted to date have been poorly done and are not conclusive. Thus, they cannot answer this question.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/oelziehen-fettige-zahnhygiene-ohne-wirknachweis/
217,Can injecting stem cells into the knee joint relieve pain and limitations associated with osteoarthritis?,Claim: Can injecting stem cells into the knee joint relieve pain and limitations associated with osteoarthritis? | Finding: It is unclear whether stem cells injected into the knee for osteoarthritis have a curative effect.  Possible side effects and dangers are also insufficiently researched.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/stammzellen-arthrose/
218,Can an extract of Desmodium promote liver health or relieve other ailments?,Claim: Can an extract of Desmodium promote liver health or relieve other ailments? | Finding: We found no conclusive studies on the efficacy of Desmodium - neither on liver health nor for any other application.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/desmodium/
219,Does the balsam apple help against infection with the human immunodeficiency virus (HIV)?,"Claim: Does the balsam apple help against infection with the human immunodeficiency virus (HIV)? | Finding: Laboratory experiments have tested how proteins from the fruits and seeds of the balsam apple Momordica behave against the human immunodeficiency virus (HIV). However, studies with humans are still lacking.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/balsamapfel-hiv/
220,Does healing clay with the clay mineral smectite help when children have diarrhea?,"Claim: Does healing clay with the clay mineral smectite help when children have diarrhea? | Finding: Healing clay with smectite could shorten a diarrheal illness in children by about one day. For healing clay with kaolinite or loess, the effectiveness is unclear.",supports,Medizin Transparent,https://www.medizin-transparent.at/heilerde-durchfall/
221,"Does a herbal combination preparation of rosemary, lovage, and centaury effectively relieve symptoms of uncomplicated cystitis?","Claim: Does a herbal combination preparation of rosemary, lovage, and centaury effectively relieve symptoms of uncomplicated cystitis? | Finding: Laboratory and animal tests indicate that ingredients of rosemary, lovage and millenium wort can relieve inflammation and cramps. The study teams concluded in the publications that the vegetable resource was effective for both purposes. From our point of view, there are cautious indications of a relieving effect in case of acute uncomplicated bladder inflammation [1] – but many questions remain open at the same time.",supports,Medizin Transparent,https://www.medizin-transparent.at/rosmarin-liebstoeckel-tausendgueldenkraut-blasenentzuendung/
222,"Can a herbal combination preparation of rosemary, lovage and centaury prevent recurrent cystitis in women?","Claim: Can a herbal combination preparation of rosemary, lovage and centaury prevent recurrent cystitis in women? | Finding: We do not consider a preventive effect to be sufficiently substantiated on the basis of the study available to us [2]. Not meaningful enough The study on the prevention of recurrent bladder inflammation [2] is very small with only 90 participants and has serious deficiencies.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/rosmarin-liebstoeckel-tausendgueldenkraut-blasenentzuendung/
223,Can healing clay help with gastritis?,Claim: Can healing clay help with gastritis? | Finding: We could not find a meaningful study that scientifically examined this question.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/heilerde-gastritis/
224,Does the Indian spice paste Chyawanprash have a positive effect on adult health?,Claim: Does the Indian spice paste Chyawanprash have a positive effect on adult health? | Finding: There is a lack of conclusive studies on possible health effects of Chyawanprash. We can neither confirm nor deny a beneficial effect.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/chyawanprash-ayurveda/
225,Does ginger work against breast cancer?,"Claim: Does ginger work against breast cancer? | Finding: So far, only isolated animal studies and experiments with cells indicate that ginger substances could favorably influence the behavior of breast cancer cells. Studies with breast cancer patients are lacking. Therefore, there are no data on the efficacy",uncertain,Medizin Transparent,https://www.medizin-transparent.at/brustkrebs-ingwer/
226,Can Theta Healing help with physical ailments and mental problems?,"Claim: Can Theta Healing help with physical ailments and mental problems? | Finding: There are no studies that have directly examined the healing effects of Theta Healing. However, one experiment contradicts a basic assumption of the method: According to this, there is no evidence that increased theta brain waves occur in involved persons.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/theta-healing/
227,Does taking Bacopa extract improve memory performance?,"Claim: Does taking Bacopa extract improve memory performance? | Finding: The question was investigated in several mainly properly done studies with more than 500 people. Overall, no significant positive effects on memory and attention were found. Since some of the studies arrived at very different results and the estimates were far apart, this clearly limits the significance of the result.",refutes,Medizin Transparent,https://www.medizin-transparent.at/bacopa/
228,"Do remedies containing the trifoliate fruit alleviate the symptoms of rheumatoid arthritis (""rheumatism"")?","Claim: Do remedies containing the trifoliate fruit alleviate the symptoms of rheumatoid arthritis (""rheumatism"")? | Finding: We have evaluated two small studies. They suggest that taking trifoliate relieves some rheumatism symptoms better than a placebo remedy. However, these results are not well established.",supports,Medizin Transparent,https://www.medizin-transparent.at/dreifluegelfrucht-vielleicht-hilfreich-bei-rheuma/
229,Does thyme strengthen memory or prevent mental decline?,Claim: Does thyme strengthen memory or prevent mental decline? | Finding: We have not been able to find any studies that have examined this question in the context of human studies.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/thymian-gedaechtnis/
230,"Does regular consumption of chia seeds reduce body weight, blood sugar levels or cholesterol?","Claim: Does regular consumption of chia seeds reduce body weight, blood sugar levels or cholesterol? | Finding: Whether Chia seeds promote health has not been directly studied. The summarized results of previous studies at least indicate that Chia has no effect on body weight, blood sugar and cholesterol levels. The significance of this",refutes,Medizin Transparent,https://www.medizin-transparent.at/chia-samen/
231,Do heat patches that heat themselves or heat pads help with pain in the neck?,Claim: Do heat patches that heat themselves or heat pads help with pain in the neck? | Finding: Studies on the pain-relieving effect of heat pads and self-heating plasters are contradictory.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/waermepflaster-nacken/
232,Do heat patches containing capsaicin help with neck pain???,Claim: Do heat patches containing capsaicin help with neck pain??? | Finding: Studies on the pain-relieving effect of heat pads and self-heating plasters are contradictory.,refutes,Medizin Transparent,https://www.medizin-transparent.at/waermepflaster-nacken/
233,Do heat patches help with lower back pain?,"Claim: Do heat patches help with lower back pain? | Finding: Heat patches produce heat by means of a chemical reaction. They can probably relieve low back pain somewhat in the short term. However, this has only been investigated for complaints that have persisted for a maximum of 3 months... Heat patches with chili extract (capsaicin)",supports,Medizin Transparent,https://www.medizin-transparent.at/waermepflaster-ruecken/
234,Does ginger help with period pain?,"Claim: Does ginger help with period pain? | Finding: Previous studies indicate that ginger can slightly relieve menstrual pain. However, due to deficiencies in their conduct, they are of limited value.",supports,Medizin Transparent,https://www.medizin-transparent.at/regelschmerzen-ingwer/
235,"Can the state of health be assessed as reliably with a ""cell check"" analysis as with other diagnostic tests (for example, blood or urine analyses)?","Claim: Can the state of health be assessed as reliably with a ""cell check"" analysis as with other diagnostic tests (for example, blood or urine analyses)? | Finding: There are no studies in which the reliability and significance of ""cell check"" results have been verified.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/zellcheck/
236,Can pain from osteoarthritis (joint wear) be relieved by arnica ointment or arnica gel?,"Claim: Can pain from osteoarthritis (joint wear) be relieved by arnica ointment or arnica gel? | Finding: Lubricated joints with hooks We found indications of some effectiveness in the age-related joint wear (arthrosis) in the fingers – in a study [1] with 204 people affected. However, it cannot be derived from how small or large the analgesic effect of Arnika-Gel is for application.",supports,Medizin Transparent,https://www.medizin-transparent.at/arnika/
237,Can pain from a sprained ankle be relieved by arnica ointment or arnica gel?,"Claim: Can pain from a sprained ankle be relieved by arnica ointment or arnica gel? | Finding: No confidence in sprains We found a study [2] in which an arnica spray was compared with an active placebo spray to sprained ankles. However, we do not consider the study to be trustworthy, because it is rather inaccurate. In addition, important data are missing. We cannot, therefore, say whether Arnika helps in spraining the ankle. Arnika ineffective against sore muscles?",uncertain,Medizin Transparent,https://www.medizin-transparent.at/arnika/
238,Can sore muscles be relieved by arnica ointment or arnica gel?,"Claim: Can sore muscles be relieved by arnica ointment or arnica gel? | Finding: Arnika ineffective against sore muscles? There was no noticeable pain-relieving effect in any of them. Since the studies together only had 93 participants, this is not a meaningful result. We cannot therefore safely assume that arnica gels or ointments are really ineffective in case of muscle ache.",refutes,Medizin Transparent,https://www.medizin-transparent.at/arnika/
239,Can carbon dioxide in mineral water and other sparkling drinks damage teeth or cause tooth decay?,"Claim: Can carbon dioxide in mineral water and other sparkling drinks damage teeth or cause tooth decay? | Finding: Whether the regular consumption of carbonated beverages (mineral water, sparkling soft drinks) damages the teeth more than non-carbonated beverages has not yet been researched.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/kohlensaeure-zaehne/
240,"Does bark extract from maritime pine (also: ""pine bark extract"") improve the symptoms of osteoarthritis?","Claim: Does bark extract from maritime pine (also: ""pine bark extract"") improve the symptoms of osteoarthritis? | Finding: The question was investigated in three smaller studies. However, due to severe methodological deficiencies and partly contradictory results, no firm conclusions can be drawn from them.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/pinienrindenextrakt-arthrose/
241,"Is brown millet effective in favorably influencing the course of the disease in rheumatism (""rheumatoid arthritis"")?","Claim: Is brown millet effective in favorably influencing the course of the disease in rheumatism (""rheumatoid arthritis"")? | Finding: We could not find any studies on this topic; therefore, statements on the benefits and risks of brown millet in rheumatoid arthritis are not possible.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/braunhirse-rheuma/
242,Are cannabis or substances derived from cannabis effective and safe anti-cancer agents?,Claim: Are cannabis or substances derived from cannabis effective and safe anti-cancer agents? | Finding: Reliable studies on this question are lacking.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/cannabis-kein-wundermittel-gegen-krebs/
243,It is not always possible to reduce elevated cholesterol levels to a healthy level with tablets and thus minimize the risk of heart attack or stroke. Does this succeed through additional injections with PCSK9 antibodies?,"Claim: It is not always possible to reduce elevated cholesterol levels to a healthy level with tablets and thus minimize the risk of heart attack or stroke. Does this succeed through additional injections with PCSK9 antibodies? | Finding: Up to now, this question has largely been investigated in people who not only have elevated cholesterol levels, but also already suffer from cardiovascular disease. Do these individuals receive additional cholesterol-lowering medications in addition to",supports,Medizin Transparent,https://www.medizin-transparent.at/mit-antikoerpern-gegen-blutfette/
244,Do vaginal suppositories containing the active ingredient imiquimod cause precancerous stages of cervical cancer to recede or disappear?,"Claim: Do vaginal suppositories containing the active ingredient imiquimod cause precancerous stages of cervical cancer to recede or disappear? | Finding: In the only study on this subject, treatment was successful in some of those affected. Since the study is flawed and only a few women participated in it, the significance is limited.",supports,Medizin Transparent,https://www.medizin-transparent.at/vorstufe-gebaermutterhalskrebs-imiquimod/
245,Is blue light treatment as effective as UV light or other established therapies for psoriasis?,"Claim: Is blue light treatment as effective as UV light or other established therapies for psoriasis? | Finding: We have not been able to find any publication comparing blue light with established treatments (e.g., UV irradiation).",uncertain,Medizin Transparent,https://www.medizin-transparent.at/blaulicht-schuppenflechte/
246,Does frequent consumption of potatoes increase the risk of dying from cancer?,Claim: Does frequent consumption of potatoes increase the risk of dying from cancer? | Finding: The summarized results of studies to date do not show an increased risk of fatal cancers. They also do not indicate that potatoes reduce life expectancy overall.,refutes,Medizin Transparent,https://www.medizin-transparent.at/kartoffeln-krebs/
247,Can cancer be detected by dark field analysis (dark field microscopy) of the blood?,"Claim: Can cancer be detected by dark field analysis (dark field microscopy) of the blood? | Finding: No cancer diagnosis possible We could not find any evidence for these claims – despite extensive search in several research databases. Although twelve of all participants had cancer, the medical practitioner was only right in three. Even if the small number of participants somewhat restricts the significance, the study shows: A cancer ""diagnosis"" with the help of dark field analysis is often wrong and would lead to great uncertainty among those affected.",refutes,Medizin Transparent,https://www.medizin-transparent.at/dunkelfeldanalyse/
248,Can dark field analysis indicate other health problems?,"Claim: Can dark field analysis indicate other health problems? | Finding: Hardly any studies Questionable is whether other health problems can be identified with the method. Because we could not discover further meaningful studies in which the dark field analysis was compared with recognized diagnostic methods. However, the extent to which the difference is compared to conventional laboratory tests cannot be reliably stated due to numerous problems in the execution of the study.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/dunkelfeldanalyse/
249,Does kombucha have a positive effect on health?,"Claim: Does kombucha have a positive effect on health? | Finding: There are no studies that have conclusively investigated the effect of kombucha in humans. In addition, it is suspected that in rare cases home-made kombucha can lead to liver disease or dangerous hyperacidity of the blood.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/kombucha-wirkung/
250,Is graviola an effective and safe treatment for cancer?,Claim: Is graviola an effective and safe treatment for cancer? | Finding: Significant studies with healthy or diseased people are missing so far.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/graviola-krebs/
251,Does taking preparations with fenugreek extract improve sex life or satisfaction with it?,Claim: Does taking preparations with fenugreek extract improve sex life or satisfaction with it? | Finding: We conclude that no robust conclusions can be drawn from the best available studies to date. We found only two smaller studies with serious methodological flaws. The calculated positive results are not very reliable.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/bockshornklee/
252,Does disulfiram improve the effectiveness of chemotherapy for cancer?,Claim: Does disulfiram improve the effectiveness of chemotherapy for cancer? | Finding: The question has been investigated in only two older and small studies in people with advanced cancer. The studies have severe methodological flaws and come to contradictory results.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/disulfiram-chemotherapie/
253,Can binaural beats relieve stress or anxiety before surgery and medical treatments?,"Claim: Can binaural beats relieve stress or anxiety before surgery and medical treatments? | Finding: Previous studies are not conclusive. Moreover, their results contradict each other.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/binaurale-beats-toene-gegen-burnout/
254,Is a vegan diet healthier than a vegetarian diet?,Claim: Is a vegan diet healthier than a vegetarian diet? | Finding: There is no evidence that veganism has advantages or disadvantages for health. Both a vegetarian and a vegan diet seem to slightly reduce the risk of cancer compared to mixed diets.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/veganismus-gesund-oder-riskant/
255,Can taking chlorophyll change mouth or body odor?,"Claim: Can taking chlorophyll change mouth or body odor? | Finding: There are no meaningful studies of chlorophyll as an antidote to body odor. So the alleged anti-mief effect of chlorophyll has not been seriously researched to this day. Even today, there is no conclusive explanation why chlorophyll should neutralize odors.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/chlorophyll-tabletten/
256,Can taking chlorophyll affect the odor of urine in catheter wearers or stool in people with an artificial bowel outlet?,"Claim: Can taking chlorophyll affect the odor of urine in catheter wearers or stool in people with an artificial bowel outlet? | Finding: According to the nurses, all participants had unpleasant smells of urine. No desired smell In no study was the odour assessment with chlorophyll tablets better than with placebo tablets. However, the small number of participants and weaknesses in the execution of the study limit the significance of the results – therefore it is unlikely that chlorophyll tablets will influence the smell of urine and stools in individuals with urinary catheter or artificial intestinal output in a desired way.",refutes,Medizin Transparent,https://www.medizin-transparent.at/chlorophyll-tabletten/
257,Is the risk of bacterial or fungal infection comparable when using menstrual cups or pads?,Claim: Is the risk of bacterial or fungal infection comparable when using menstrual cups or pads? | Finding: Our statement is based on a solid single study. Further studies may provide even more clarity in the future.,supports,Medizin Transparent,https://www.medizin-transparent.at/menstruationstasse-nachteile/
258,"Laboratory experiments indicate that leoligin and other substances from edelweiss have a medicinal effect. However, this has not been researched in humans.","Claim: Laboratory experiments indicate that leoligin and other substances from edelweiss have a medicinal effect. However, this has not been researched in humans. | Finding: To date, no research has been conducted to determine whether compounds from edelweiss are effective and safe in humans.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/edelweiss-wirkung-leoligin/
259,Can a straight bar improve harmless tension and pain in the neck and back?,"Claim: Can a straight bar improve harmless tension and pain in the neck and back? | Finding: To date, there have been no studies on the efficacy of straight-arm restraints when the pain was not due to serious illness or injury.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/geradehalter/
260,Are ultrasound examinations during pregnancy safe for the health of the child?,"Claim: Are ultrasound examinations during pregnancy safe for the health of the child? | Finding: In previous studies, routine ultrasound examinations have shown no adverse effects. There were no differences in size, weight, birth complications or malformations in the neonatal period. Later, there were no differences between more frequently or less frequently ""sonicated"" children with respect to development or skills such as reading, speech, arithmetic, vision, or hearing. However, deficiencies in the study conduct limit the validity of these results quite severely.",supports,Medizin Transparent,https://www.medizin-transparent.at/ultraschall-schaedlich/
261,Can oregano oil relieve discomfort or disease?,"Claim: Can oregano oil relieve discomfort or disease? | Finding: So far, there are no conclusive studies that have investigated the health-promoting effects of oregano oil. We do not know, for example, whether it helps against infections.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/oregano-oel/
262,Are Bach flower remedies effective in helping with test anxiety?,Claim: Are Bach flower remedies effective in helping with test anxiety? | Finding: Three small studies indicate that remedies with Bach flowers against test anxiety do not help better than a placebo.,refutes,Medizin Transparent,https://www.medizin-transparent.at/bachblueten-pruefungsangst/
263,Can capsules with diamine oxidase alleviate or prevent symptoms of histamine intolerance?,Claim: Can capsules with diamine oxidase alleviate or prevent symptoms of histamine intolerance? | Finding: We found only one small study with insufficient power.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/diaminoxidase-histaminintoleranz/
264,Does magnesium help with period pain?,"Claim: Does magnesium help with period pain? | Finding: To date, there have been no meaningful studies examining this.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/regelschmerzen-magnesium/
265,"Does cannabis improve symptoms of Parkinson's disease, for example movement disorders?","Claim: Does cannabis improve symptoms of Parkinson's disease, for example movement disorders? | Finding: The question has been investigated in only two small studies of unclear methodological quality. While they do not suggest any positive effects on different movement disorders, one study gives evidence of a small improvement in quality of life.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/parkinson-cannabis/
266,Is the dietary supplement nattokinase effective and safe as a blood thinner?,"Claim: Is the dietary supplement nattokinase effective and safe as a blood thinner? | Finding: We could not find any conclusive studies on this issue. Therefore, it remains unclear whether nattokinase acts as a blood thinner and consequently prevents severe cardiovascular disease. Likewise, we do not know whether taking the enzyme is safe.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/nattokinase-blutverduennung/
267,"Is the Feldenkrais Method effective against pain and tension in the neck, shoulders and back?","Claim: Is the Feldenkrais Method effective against pain and tension in the neck, shoulders and back? | Finding: Studies conducted to date are too untrustworthy to answer this question.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/feldenkrais/
268,Does an alkaline bath help with neurodermatitis?,"Claim: Does an alkaline bath help with neurodermatitis? | Finding: To date, there is no meaningful research on this.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/basenbad-neurodermitis/
269,"Does birch water, also called birch sap, help with health problems?","Claim: Does birch water, also called birch sap, help with health problems? | Finding: So far, there are no studies that have investigated this issue. Therefore, evidence for the effectiveness of birch water is lacking. The side effects have also not been researched.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/birkenwasser/
270,Is oolong tea an effective way to lose weight?,"Claim: Is oolong tea an effective way to lose weight? | Finding: We have not found any studies on the subject. Therefore, we cannot judge whether commercial oolong tea helps overweight people reduce their weight.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/oolong-tee-abnehmen/
271,"Do Waveex and similar products reduce exposure to electromagnetic fields, for example when using a cell phone or smartphone?","Claim: Do Waveex and similar products reduce exposure to electromagnetic fields, for example when using a cell phone or smartphone? | Finding: The alleged active principle of Waveex and other comparable products is not scientifically plausible. We also found no meaningful study that could provide information about a possible effect of the cell phone stickers.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/waveex/
272,Can ingredients in deodorants like aluminum salts cause breast cancer?,Claim: Can ingredients in deodorants like aluminum salts cause breast cancer? | Finding: Whether the long-term use of deodorants can lead to breast cancer has not been sufficiently researched. There is a lack of studies conducted according to strict criteria with people over a longer period of time.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/brustkrebs-durch-deos/
273,"Does the intake of black cumin improve the symptoms of asthma, e.g. shortness of breath?","Claim: Does the intake of black cumin improve the symptoms of asthma, e.g. shortness of breath? | Finding: The question has been investigated in four small studies. Some of them have serious methodological flaws and come to contradictory results.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/schwarzkuemmel-asthma/
274,Do specially trained dogs reliably warn of dangerous hypoglycemia?,"Claim: Do specially trained dogs reliably warn of dangerous hypoglycemia? | Finding: There are some positive reports and pilot studies. However, larger, well-done studies are lacking. Therefore, it is not proven whether or which dogs reliably detect and report threatening low blood glucose levels. Also unclear: how often do diabetic alert dogs give false alarms?",uncertain,Medizin Transparent,https://www.medizin-transparent.at/diabetiker-warnhunde/
275,Does taking proton pump inhibitors (PPI) increase the risk of bone fractures?,"Claim: Does taking proton pump inhibitors (PPI) increase the risk of bone fractures? | Finding: The question has been investigated in many observational studies involving a total of around 800,000 people. These show indications that prolonged use of proton pump inhibitors may result in more bone fractures. However, it is not possible to quantify exactly how great the risk of PPI is. Presumably, the likelihood of bone fractures increases with longer use and higher dosage.",supports,Medizin Transparent,https://www.medizin-transparent.at/protonenpumpenhemmer/
276,Can matrix therapy (also: matrix rhythm therapy) alleviate complaints of muscles and joints?,Claim: Can matrix therapy (also: matrix rhythm therapy) alleviate complaints of muscles and joints? | Finding: Studies conducted to date are too deficient to answer this question.,uncertain,Medizin Transparent,https://www.medizin-transparent.at/matrix-therapie/
277,Can hyposensitization by injections with allergy-causing pollen components help with hay fever?,"Claim: Can hyposensitization by injections with allergy-causing pollen components help with hay fever? | Finding: In the case of hay fever, hyposensitization with injections can probably alleviate the symptoms somewhat. However, there is still too little research on how long this effect lasts.",supports,Medizin Transparent,https://www.medizin-transparent.at/heuschnupfen-hyposensibilisierung/
278,Can hyposensitization by means of drops or tablets administered under the tongue help with hay fever?,"Claim: Can hyposensitization by means of drops or tablets administered under the tongue help with hay fever? | Finding: Probably this form of hyposensitization helps to alleviate hay fever symptoms somewhat, but the effect is unlikely to be great.",supports,Medizin Transparent,https://www.medizin-transparent.at/hyposensibilisierung-heuschnupfen/
279,Do Blushwood berries help against skin cancer?,"Claim: Do Blushwood berries help against skin cancer? | Finding: An active ingredient (EBC-46, tigilanol tiglate) isolated from blushwood berries is currently being studied. Results of an initial study with people who have cancer have not yet been published. We have not been able to identify studies of an anti-cancer effect of other extracts from the berries that are ingested.",uncertain,Medizin Transparent,https://www.medizin-transparent.at/blushwood-hautkrebs/
